000001 平安银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/01/02	13.35	13.93	13.32	13.70	208159200	2856542976.00
2018/01/03	13.73	13.86	13.20	13.33	296249792	4006220032.00
2018/01/04	13.32	13.37	13.13	13.25	185450896	2454543104.00
2018/01/05	13.21	13.35	13.15	13.30	121031200	1603288960.00
2018/01/08	13.25	13.29	12.86	12.96	215862000	2806098944.00
2018/01/09	12.96	13.20	12.92	13.08	134434496	1754315008.00
2018/01/10	13.04	13.49	12.92	13.47	240327696	3196055040.00
2018/01/11	13.41	13.59	13.27	13.40	144387696	1937494016.00
2018/01/12	13.45	13.68	13.41	13.55	135399104	1833435008.00
2018/01/15	13.51	14.33	13.50	14.20	312239392	4376707072.00
2018/01/16	14.17	14.38	14.02	14.20	244454896	3479175936.00
2018/01/17	14.33	14.80	14.20	14.23	265629408	3849312000.00
2018/01/18	14.40	14.72	14.28	14.72	214802592	3120454912.00
2018/01/19	14.80	15.13	14.68	14.80	257114592	3832857088.00
2018/01/22	14.60	14.94	14.43	14.44	207386704	3032797952.00
2018/01/23	14.36	14.90	14.33	14.65	238879104	3492462080.00
2018/01/24	14.66	15.08	14.50	14.64	259129200	3838734080.00
2018/01/25	14.45	14.47	14.00	14.20	236998400	3360822016.00
2018/01/26	14.18	14.34	14.02	14.05	203298800	2885104128.00
2018/01/29	14.05	14.25	13.60	13.74	209054592	2911451904.00
2018/01/30	13.70	13.84	13.55	13.65	109473904	1497708032.00
2018/01/31	13.60	14.05	13.53	14.05	174772896	2423104000.00
2018/02/01	13.95	14.30	13.84	14.03	200561408	2821583104.00
2018/02/02	13.91	14.10	13.63	14.05	117651200	1637618944.00
2018/02/05	13.80	14.57	13.73	14.55	233199696	3326354944.00
2018/02/06	14.23	14.33	13.93	14.00	258287200	3641294080.00
2018/02/07	14.22	14.30	12.76	12.92	334571584	4521586176.00
2018/02/08	12.83	12.92	12.53	12.54	213781504	2711463936.00
2018/02/09	12.08	12.08	11.38	11.69	282494912	3308552960.00
2018/02/12	11.78	11.84	11.56	11.72	122878200	1439644032.00
2018/02/13	11.87	12.21	11.84	11.94	129817800	1562418944.00
2018/02/14	11.96	12.03	11.76	12.00	86419000	1030473984.00
2018/02/22	12.25	12.53	12.25	12.46	126840600	1573561984.00
2018/02/23	12.58	12.79	12.45	12.61	101366304	1278184960.00
2018/02/26	12.77	12.85	12.45	12.63	104575800	1318960000.00
2018/02/27	12.64	12.70	12.19	12.28	128586896	1590018048.00
2018/02/28	12.10	12.19	11.93	12.05	121414496	1463313024.00
2018/03/01	11.92	12.15	11.90	12.04	88695696	1069353984.00
2018/03/02	11.92	12.04	11.85	11.95	66312400	791736000.00
2018/03/05	11.93	12.08	11.80	11.86	75418304	897244032.00
2018/03/06	11.95	12.11	11.77	12.10	115016200	1373437952.00
2018/03/07	12.15	12.34	12.04	12.05	142756992	1744084992.00
2018/03/08	12.05	12.15	11.95	12.11	68975504	832153024.00
2018/03/09	12.15	12.20	11.98	12.09	94387600	1139042944.00
2018/03/12	12.15	12.17	11.95	12.03	126870096	1526642944.00
2018/03/13	12.04	12.22	12.00	12.02	108226704	1309543040.00
2018/03/14	11.98	12.00	11.83	11.92	63559400	757089984.00
2018/03/15	11.79	11.85	11.66	11.71	115569400	1356877952.00
2018/03/16	11.72	11.85	11.64	11.64	96298304	1130784000.00
2018/03/19	11.66	11.84	11.61	11.83	80853800	947664000.00
2018/03/20	11.74	11.88	11.72	11.82	77615000	916857984.00
2018/03/21	11.95	12.12	11.85	11.90	144510896	1736436992.00
2018/03/22	11.90	11.97	11.62	11.66	98427800	1155741056.00
2018/03/23	11.25	11.35	10.92	11.34	182568992	2037734016.00
2018/03/26	11.15	11.20	10.86	10.93	138359808	1519435008.00
2018/03/27	11.10	11.17	10.86	10.94	110393296	1213988992.00
2018/03/28	10.85	11.14	10.79	10.89	109902304	1201022976.00
2018/03/29	10.92	11.17	10.55	11.05	133060200	1445281024.00
2018/03/30	11.04	11.05	10.88	10.90	75217296	823438016.00
2018/04/02	10.87	10.99	10.70	10.71	110931600	1200912000.00
2018/04/03	10.60	10.67	10.51	10.56	89074496	942236992.00
2018/04/04	10.68	11.01	10.60	10.87	160248800	1737257984.00
2018/04/09	10.80	11.10	10.73	11.02	107479504	1180083968.00
2018/04/10	11.02	11.46	10.97	11.42	139095008	1562264960.00
2018/04/11	11.39	11.92	11.38	11.83	209596992	2458981888.00
2018/04/12	11.80	11.83	11.42	11.52	117312800	1364674944.00
2018/04/13	11.64	11.79	11.45	11.57	130025504	1516155008.00
2018/04/16	11.47	11.47	11.03	11.10	142707200	1593705984.00
2018/04/17	11.12	11.45	11.11	11.21	130189104	1468158976.00
2018/04/18	11.45	11.61	11.28	11.50	147584496	1692722048.00
2018/04/19	11.52	11.69	11.42	11.47	84913104	979593024.00
2018/04/20	11.51	11.58	11.20	11.35	95869000	1090801024.00
2018/04/23	11.30	11.61	11.26	11.57	107028896	1228544000.00
2018/04/24	11.63	11.94	11.58	11.86	146109792	1725152000.00
2018/04/25	11.76	11.81	11.63	11.68	73028600	854713024.00
2018/04/26	11.66	11.69	11.31	11.42	87423504	1002483008.00
2018/04/27	11.49	11.51	10.63	10.85	270979488	2958464000.00
2018/05/02	10.97	11.03	10.80	10.88	119052304	1295804032.00
2018/05/03	10.86	10.88	10.57	10.75	128135504	1372765056.00
2018/05/04	10.73	10.83	10.66	10.68	71050896	761302016.00
2018/05/07	10.70	10.83	10.64	10.81	97430896	1046742976.00
2018/05/08	10.83	11.15	10.80	11.01	137330496	1511545984.00
2018/05/09	10.98	11.03	10.88	10.97	62765600	687036032.00
2018/05/10	11.03	11.09	10.91	11.01	55273500	607350016.00
2018/05/11	11.04	11.13	10.96	11.01	77236896	853270976.00
2018/05/14	11.09	11.23	11.03	11.18	103929696	1158064000.00
2018/05/15	11.18	11.19	11.02	11.12	66926100	742590016.00
2018/05/16	11.07	11.07	10.89	10.90	71436200	782694016.00
2018/05/17	10.91	10.94	10.78	10.82	58649400	635675008.00
2018/05/18	10.81	10.97	10.76	10.96	57838400	628249984.00
2018/05/21	11.07	11.11	10.93	10.95	76353296	838750016.00
2018/05/22	10.95	10.98	10.79	10.86	58987100	639814976.00
2018/05/23	10.82	10.82	10.62	10.65	99101600	1058587008.00
2018/05/24	10.66	10.68	10.58	10.61	68815200	730678016.00
2018/05/25	10.61	10.67	10.55	10.59	59333500	629734976.00
2018/05/28	10.58	10.66	10.51	10.59	56940000	602590016.00
2018/05/29	10.58	10.63	10.35	10.38	88949400	930385984.00
2018/05/30	10.29	10.29	10.05	10.08	112444704	1139917952.00
2018/05/31	10.11	10.19	10.02	10.18	98736000	999216000.00
2018/06/01	10.15	10.29	10.07	10.19	59721100	608398016.00
2018/06/04	10.23	10.31	10.15	10.27	59303800	608291008.00
2018/06/05	10.29	10.30	10.11	10.26	65654000	670739968.00
2018/06/06	10.25	10.26	10.10	10.14	71274304	724032000.00
